i_d,regdate,first_name,last_name,homephone,email_address,street,city,state,zipcode
1247,1/21/09,Alyssa,Abraham,durnetta@jumpstartlab.com,240 645 5000,"3000 Cathedral Ave, NW",Washington,Dc,20008
2985,1/29/09,Ivey,Albeck,bxll13@jumpstartlab.com,6035627000,"4425 Reno Road, NW",Washington,Dc,20008
876,1/19/09,Juliette,Alvarez,luroberts05@jumpstartlab.com,973-332-3000,"2727 29th Street NW, Apt. 323",Washington,Dc,20008
3137,1/30/09,Maria,Amster,ckongwer@jumpstartlab.com,xxxx000,155 Indian Avenue,Lawrence,Dc,66046
1414,1/21/09,Alejandro,Anderson,sydy0314@jumpstartlab.com,914-441-7000,4400 Massachusetts Ave NW,Washington,Dc,20016
3158,1/30/09,Megan,Arene-Morley,fhanchan@jumpstartlab.com,2022977000,37th and O Streets NW,Washington,Dc,20057
2936,1/29/09,Wesley,Aroneanu,efraguza@jumpstartlab.com,908-672-3000,"2021 F St NW, Potomac #1006",Washington,Dc,20052
1225,1/20/09,Lindsay,Aronoff,aslissanypirg@jumpstartlab.com,240 645 5000,"3000 Cathedral Ave, NW",Washington,Dc,20008
1213,1/20/09,Zack,Astrove,fkolfgan@jumpstartlab.com,240 645 5000,"3000 Cathedral Ave, NW",Washington,Dc,20008
1229,1/20/09,Jennifer,Avalos,deiaz@jumpstartlab.com,443-504-4000,3168 17th St NW,Washington,Dc,20010
1459,1/21/09,Leah,Ayers,vjstevens_2010@jumpstartlab.com,301 6545000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
866,1/19/09,Jenna,B,wdack.satin.feathers@jumpstartlab.com,973-902-1000,"2727 29th Street NW, Apt. 305",Washington,Dc,20008
126,12/11/08,Katie,Baimas-George,svsullivan88@jumpstartlab.com,608-516-9000,1123 Harvard St. unit R,Washington,Dc,20009
1232,1/20/09,Stephanie,Baird,omani.sheva@jumpstartlab.com,240 645 5000,"3000 Cathedral Ave, NW",Washington,Dc,20008
1389,1/21/09,Jenny,Barrett,ym1106a@jumpstartlab.com,515-231-4000,4201 Massachusetts Ave NW,Washington,Dc,20016
873,1/19/09,Erik,Beardsley,ngangrpl@jumpstartlab.com,201-786-3000,"2727 29th Street NW, Apt. 232",Washington,Dc,20008
2072,1/21/09,Vanessa,Beckman,leerry.finkel@jumpstartlab.com,913.406.3000,"620 21st Street, NW, #201",Washington,Dc,66209
1236,1/20/09,Katey,Benders,jdf28@jumpstartlab.com,240 645 5000,"3000 Cathedral Ave, NW",Washington,Dc,20008
4908,2/1/09,Laura,Bennett,sqerson1@jumpstartlab.com,5408883000,1616 P Street NW Suite 340,Washington,Dc,20036
1221,1/20/09,Lauren,Berlin,kff_wehrenjk@jumpstartlab.com,240 645 5000,"3000 Cathedral Ave, NW",Washington,Dc,20008
4561,2/1/09,Lindsay,Betancourt,fkll11@jumpstartlab.com,202-882-3000,1507 Gallatin Street NW,"Washington, dc",Dc,20011
4640,2/1/09,Cameron,Bhalsod,eoawrence2@jumpstartlab.com,717-339-7000,4400 Massachusetts Avenue,Washington,Dc,20016
4929,2/1/09,Mrinalini,Billman,ihnwaax07@jumpstartlab.com,5408883000,1616 P Street NW Suite 340,Washington,Dc,20036
4623,2/1/09,Leila,Bischoff,mkoodman@jumpstartlab.com,781-424-0000,4400 Massachusetts Avenue,Washington,Dc,20016
4750,2/1/09,Melissa,Bowling,yim138@jumpstartlab.com,631-223-6000,736 22nd Street rm 205,Washington dc,Dc,20052
4498,2/1/09,Kelley,Boyyyyy,qswolf@jumpstartlab.com,202-885-1000,4400 Massachusetts Avenue,Washington,Dc,20016
4156,2/1/09,Dan,Bryant,eyrzipan@jumpstartlab.com,510-452-7000,"1608 Rhode Island Ave, NW",Washington,Dc,20036
860,1/19/09,Jeannie,Bryant,kkserpe08@jumpstartlab.com,845-797-3000,"2727 29th Street NW, Apt 305",Washington,Dc,20008
3492,1/31/09,Skye,Bulis,hecameri@jumpstartlab.com,202-213-8000,"1500 Massachusetts Ave, #546",Washington,Dc,20005
1257,1/21/09,Medina,Cao,dkulger@jumpstartlab.com,240 645 5000,"3000 Cathedral Ave, NW",Washington,Dc,20008
4451,2/1/09,Aaron,Cappelli,mwgan.foster@jumpstartlab.com,610-324-8000,4400 Massachusetts Avenue,Washington,Dc,20016
1253,1/21/09,Roxanne,Carbajo,bxlegra.fonda-bonardi@jumpstartlab.com,240 645 5000,"3000 Cathedral Ave, NW",Washington,Dc,20008
4576,2/1/09,David,Cardinal,ptodallm@jumpstartlab.com,412-613-7000,4400 Massachusetts Avenue,Washington,Dc,20016
2755,1/28/09,Sally,Carey,apu.brazell@jumpstartlab.com,(202) 319-2000,"702 H St NW, Ste 300",Washington,Dc,20001
1422,1/21/09,Samuel,Carpenter,wsmanley@jumpstartlab.com,301 6545000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
4151,2/1/09,Ethan,Chang,hhhn.walker@jumpstartlab.com,510-610-1000,"1608 Rhode Island Ave, NW",Washington,Dc,20036
362,12/19/08,Justin,Chinana,ipesha226@jumpstartlab.com,(434) 989 1000,3321 16th St NW,Washington,Dc,20010
3678,1/31/09,Monica,Cormia,ksf_hellerla@jumpstartlab.com,5163840000,"Georgetown University, Village A F206",Washington,Dc,20057
5159,2/2/09,Allison,Coronado,beblaaron01@jumpstartlab.com,805-448-1000,"2100 I Street, NW, GW University – Lafayette Hall #403",Washington,Dc,20052
1452,1/21/09,Olivia,Costa,blsmith@jumpstartlab.com,301 6545000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
4154,2/1/09,Jason,Costantino,efochner@jumpstartlab.com,626-840-6000,"1608 Rhode Island Ave, NW",Washington,Dc,20036
4823,2/1/09,Jafar,Cotton,hroon-van-diest.4@jumpstartlab.com,5408883000,1616 P. Street NW Suite 340,Washington,Dc,20036
838,1/17/09,Megan,Craig,nslopuppet_o_o@jumpstartlab.com,917-280-6000,1409 37th St.,Washington,Dc,20007
1439,1/21/09,Jamie3,Crutcher,ssckereg@jumpstartlab.com,301 6545000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
1445,1/21/09,Meaghan,Cunningham,njompsonswartz@jumpstartlab.com,301 6545000,"3825 Wisconsin Avenue, NW",Washington,Dc,20016
4431,2/1/09,Mackenzie,Davila,nmkokal@jumpstartlab.com,541-760-8000,4400 Massachusetts Avenue,Washington,Dc,00000
2927,1/29/09,Lisa,Davis,hg@jumpstartlab.com,301-675-4000,4461 Westover Place,Washington,Dc,20016
4381,2/1/09,Nancy,Davis,weey.wohlfeld@jumpstartlab.com,8452249000,Box 574262 Georgetown University,Washington,Dc,04262
4584,2/1/09,Paul,Davison,wcll16@jumpstartlab.com,305-283-5000,4400 Massachusetts Avenue,Washington,Dc,20016
2215,1/21/09,Vanessa,Dawson,casusanrubin@jumpstartlab.com,802.598.2000,"950 24th St, NW, #816",Washington,Dc,20052
4426,2/1/09,Jeanna,De Soto,kce.chadcarson+4@jumpstartlab.com,206-261-8000,4400 Massachusetts Avenue,Washington,Dc,20016
1385,1/21/09,Ryan,DeBuck,ghyce_m@jumpstartlab.com,240 645 5000,3000 Cathedral Ave NW,Washington,Dc,20008
2857,1/29/09,Tamer,Deveau,wgurns4@jumpstartlab.com,2029975000,1718 21st Street NW,Washington,Dc,20009
3454,1/31/09,Chris,Doane,kpilch1@jumpstartlab.com,9187069000,Copley G17 Box 573539 Georgetown University,Washington,Dc,20057
3647,1/31/09,Rei,Doe,fuusso@jumpstartlab.com,8452249000,Box 573757,Washington,Dc,20057
871,1/19/09,Vax,Doe,nyesoto@jumpstartlab.com,315-391-7000,2727 29th Street NW,Washington,Dc,20008
4725,2/1/09,Cody,Doe,tkstressneko.lily@jumpstartlab.com,704-737-8000,4400 Massachusetts Avenue,Washington,Dc,20016
1427,1/21/09,James,Doe,nlhneenampudiyay@jumpstartlab.com,267-467-4000,4400 Massachusetts Ave NW,Washington,Dc,20016
2670,1/26/09,Julie,Doe,hcilson@jumpstartlab.com,240-393-7000,1620 Argonne Place N.W.,Washington,Dc,20009
2709,1/27/09,Allison,Dolkart,ieim19@jumpstartlab.com,607-346-6000,2021 F Street NW,Washington,Dc,20052
2130,1/21/09,Karson,Dowd,klotazewell@jumpstartlab.com,347-207-2000,"2222 Eye Street, NW, #303",Washington,Dc,20052
4493,2/1/09,Vanessa,Dube,kmbrink08@jumpstartlab.com,404-488-6000,4400 Massachusetts Avenue,Washington,Dc,20016
4678,2/1/09,Erica,Duval,uasample@jumpstartlab.com,636-489-9000,4400 Massachusetts Avenue,Washington,Dc,20016
4918,2/1/09,Caitlin,Easter,ghel@jumpstartlab.com,310-569-8000,321 South Carolina Ave SE,Washington,Dc,20003
4507,2/1/09,Chris,Edge,pcickers@jumpstartlab.com,503-998-8000,4400 Massachusetts Avenue,Washington,Dc,20016
4487,2/1/09,Lauren,Elion,phya_godwin@jumpstartlab.com,626-598-5000,"901 6th St. SW, Apt 414A",Washington,Dc,20024
